"","dynamicColors","mergedColors"
"FAM131A","grey","grey"
"FAM131B","grey","grey"
"FAM133B","grey","grey"
"FAM135A","grey","grey"
"FAM136A","turquoise","turquoise"
"FAM13A","grey","grey"
"FAM13B","blue","black"
"FAM149B1","yellow","black"
"FAM151A","grey","grey"
"FAM151B","turquoise","turquoise"
"FAM153A","greenyellow","greenyellow"
"FAM160A2","grey","grey"
"FAM160B1","yellow","black"
"FAM160B2","brown","pink"
"FAM161A","green","black"
"FAM161B","grey","grey"
"FAM162A","grey","grey"
"FAM166A","grey","grey"
"FAM166B","grey","grey"
"FAM167A","grey","grey"
"FAM167B","salmon","salmon"
"FAM168A","grey","grey"
"FAM168B","grey","grey"
"FAM169A","grey","grey"
"FAM171A1","grey","grey"
"FAM171A2","grey","grey"
"FAM171B","grey","grey"
"FAM172A","red","black"
"FAM174A","grey","grey"
"FAM174B","grey","grey"
"FAM177A1","magenta","pink"
"FAM177B","grey","grey"
"FAM178B","purple","purple"
"FAM180B","grey","grey"
"FAM184A","grey","grey"
"FAM184B","turquoise","turquoise"
"FAM185A","green","black"
"FAM186A","grey","grey"
"FAM186B","yellow","black"
"FAM189B","pink","pink"
"FAM192A","grey","grey"
"FAM193A","yellow","black"
"FAM193B","brown","pink"
"FAM199X","red","black"
"FAM200A","red","black"
"FAM200B","turquoise","turquoise"
"FAM204A","black","black"
"FAM207A","grey","grey"
"FAM209A","grey","grey"
"FAM209B","grey","grey"
"FAM20A","salmon","salmon"
"FAM20B","black","black"
"FAM20C","turquoise","turquoise"
"FAM210A","black","black"
"FAM210B","purple","purple"
"FAM214A","blue","black"
"FAM214B","black","black"
"FAM216A","turquoise","turquoise"
"FAM217A","blue","black"
"FAM217B","red","black"
"FAM219A","grey","grey"
"FAM219B","grey","grey"
"FAM220A","grey","grey"
"FAM221A","grey","grey"
"FAM221B","grey","grey"
"FAM222A","grey","grey"
"FAM222B","grey","grey"
"FAM227A","turquoise","turquoise"
"FAM227B","blue","black"
"FAM228A","grey","grey"
"FAM228B","yellow","black"
"FAM229A","brown","pink"
"FAM229B","yellow","black"
"FAM234A","pink","pink"
"FAM234B","green","black"
"FAM24B","grey","grey"
"FAM32A","grey","grey"
"FAM3A","brown","pink"
"FAM3C","grey","grey"
"FAM43A","grey","grey"
"FAM49A","turquoise","turquoise"
"FAM49B","pink","pink"
"FAM50A","red","black"
"FAM50B","grey","grey"
"FAM53A","grey","grey"
"FAM53B","turquoise","turquoise"
"FAM53C","grey","grey"
"FAM71D","grey","grey"
"FAM71E1","grey","grey"
"FAM71F2","grey","grey"
"FAM72B","midnightblue","cyan"
"FAM72C","midnightblue","cyan"
"FAM72D","midnightblue","cyan"
"FAM76A","grey","grey"
"FAM76B","blue","black"
"FAM78A","grey","grey"
"FAM81A","grey","grey"
"FAM81B","grey","grey"
"FAM83A","grey","grey"
"FAM83D","midnightblue","cyan"
"FAM83E","grey","grey"
"FAM83G","grey","grey"
"FAM83H","grey","grey"
"FAM86B1","grey","grey"
"FAM86C1","grey","grey"
"FAM89A","grey","grey"
"FAM89B","magenta","pink"
"FAM8A1","grey","grey"
"FAM90A1","grey","grey"
"FAM91A1","blue","black"
"FAM95C","salmon","salmon"
"FAM98A","green","black"
"FAM98B","red","black"
"FAM98C","grey","grey"
"FAN1","green","black"
"FANCA","cyan","cyan"
"FANCB","cyan","cyan"
"FANCC","cyan","cyan"
"FANCD2","cyan","cyan"
"FANCD2OS","midnightblue","cyan"
"FANCE","midnightblue","cyan"
"FANCF","yellow","black"
"FANCG","midnightblue","cyan"
"FANCI","cyan","cyan"
"FANCL","green","black"
"FANCM","blue","black"
"FANK1","turquoise","turquoise"
"FAR1","turquoise","turquoise"
"FAR2","grey","grey"
"FARP1","grey","grey"
"FARP2","grey","grey"
"FARS2","grey","grey"
"FARSA","turquoise","turquoise"
"FARSB","green","black"
"FAS","grey","grey"
"FASLG","greenyellow","greenyellow"
"FASN","pink","pink"
"FASTK","brown","pink"
"FASTKD1","green","black"
"FASTKD2","green","black"
"FASTKD3","red","black"
"FASTKD5","grey","grey"
"FAT2","turquoise","turquoise"
"FAU","tan","tan"
"FAXDC2","purple","purple"
"FBF1","grey","grey"
"FBL","tan","tan"
"FBLIM1","salmon","salmon"
"FBLN1","grey","grey"
"FBLN2","grey","grey"
"FBLN5","grey","grey"
"FBLN7","greenyellow","greenyellow"
"FBN1","salmon","salmon"
"FBN2","grey","grey"
"FBP1","turquoise","turquoise"
"FBRS","magenta","pink"
"FBRSL1","brown","pink"
"FBXL12","magenta","pink"
"FBXL13","green","black"
"FBXL14","pink","pink"
"FBXL15","magenta","pink"
"FBXL16","greenyellow","greenyellow"
"FBXL17","grey","grey"
"FBXL18","grey","grey"
"FBXL19","magenta","pink"
"FBXL2","lightcyan","lightcyan"
"FBXL20","blue","black"
"FBXL22","grey","grey"
"FBXL3","red","black"
"FBXL4","blue","black"
"FBXL5","turquoise","turquoise"
"FBXL6","brown","pink"
"FBXL8","brown","pink"
"FBXO10","grey","grey"
"FBXO11","blue","black"
"FBXO15","grey","grey"
"FBXO2","greenyellow","greenyellow"
"FBXO21","grey","grey"
"FBXO22","red","black"
"FBXO24","grey","grey"
"FBXO25","grey","grey"
"FBXO28","red","black"
"FBXO3","grey","grey"
"FBXO30","blue","black"
"FBXO31","brown","pink"
"FBXO32","greenyellow","greenyellow"
"FBXO33","grey","grey"
"FBXO34","grey","grey"
"FBXO36","turquoise","turquoise"
"FBXO38","blue","black"
"FBXO39","grey","grey"
"FBXO4","cyan","cyan"
"FBXO40","grey","grey"
"FBXO41","grey","grey"
"FBXO42","grey","grey"
"FBXO43","midnightblue","cyan"
"FBXO44","grey","grey"
"FBXO45","black","black"
"FBXO46","pink","pink"
"FBXO48","yellow","black"
"FBXO5","midnightblue","cyan"
"FBXO6","grey","grey"
"FBXO7","purple","purple"
"FBXO8","grey","grey"
"FBXO9","grey","grey"
"FBXW11","red","black"
"FBXW2","blue","black"
"FBXW4","grey","grey"
"FBXW5","magenta","pink"
"FBXW7","grey","grey"
"FBXW8","green","black"
"FBXW9","pink","pink"
"FCAR","turquoise","turquoise"
"FCER1A","grey","grey"
"FCER1G","turquoise","turquoise"
"FCER2","turquoise","turquoise"
"FCF1","black","black"
"FCGBP","grey","grey"
"FCGR1A","turquoise","turquoise"
"FCGR1B","turquoise","turquoise"
"FCGR2A","turquoise","turquoise"
"FCGR2B","turquoise","turquoise"
"FCGR3A","turquoise","turquoise"
"FCGR3B","turquoise","turquoise"
"FCGRT","turquoise","turquoise"
"FCHO1","grey","grey"
"FCHO2","grey","grey"
"FCHSD1","grey","grey"
"FCHSD2","blue","black"
"FCMR","greenyellow","greenyellow"
"FCN1","turquoise","turquoise"
"FCN2","turquoise","turquoise"
"FCRL1","greenyellow","greenyellow"
"FCRL2","greenyellow","greenyellow"
"FCRL3","greenyellow","greenyellow"
"FCRL5","greenyellow","greenyellow"
"FCRL6","greenyellow","greenyellow"
"FCRLA","grey","grey"
"FCRLB","grey","grey"
"FDFT1","grey","grey"
"FDPS","grey","grey"
"FDX1","grey","grey"
"FDXACB1","black","black"
"FDXR","grey","grey"
"FECH","purple","purple"
"FEM1A","grey","grey"
"FEM1B","red","black"
"FEM1C","grey","grey"
"FEN1","cyan","cyan"
"FER","grey","grey"
"FERMT2","salmon","salmon"
"FERMT3","turquoise","turquoise"
"FES","brown","pink"
"FEZ1","grey","grey"
"FEZ2","magenta","pink"
"FFAR2","turquoise","turquoise"
"FFAR4","turquoise","turquoise"
"FGD1","grey","grey"
"FGD2","turquoise","turquoise"
"FGD3","turquoise","turquoise"
"FGD4","turquoise","turquoise"
"FGD5","grey","grey"
"FGD6","turquoise","turquoise"
"FGF11","grey","grey"
"FGF17","grey","grey"
"FGF18","grey","grey"
"FGFBP2","greenyellow","greenyellow"
"FGFBP3","grey","grey"
"FGFR1","grey","grey"
"FGFR1OP","turquoise","turquoise"
"FGFR1OP2","yellow","black"
"FGFR3","grey","grey"
"FGFR4","grey","grey"
"FGFRL1","brown","pink"
"FGGY","grey","grey"
"FGL2","turquoise","turquoise"
"FGR","turquoise","turquoise"
"FH","black","black"
"FHDC1","purple","purple"
"FHIT","grey","grey"
"FHL1","grey","grey"
"FHL2","purple","purple"
"FHL3","grey","grey"
"FHOD1","brown","pink"
"FIBP","magenta","pink"
"FICD","grey","grey"
"FIG4","turquoise","turquoise"
"FIGNL1","cyan","cyan"
"FILIP1","grey","grey"
"FILIP1L","lightcyan","lightcyan"
"FIP1L1","green","black"
"FIS1","brown","pink"
"FITM1","grey","grey"
"FITM2","grey","grey"
"FIZ1","pink","pink"
"FKBP10","purple","purple"
"FKBP11","grey","grey"
"FKBP14","grey","grey"
"FKBP15","turquoise","turquoise"
"FKBP1A","grey","grey"
"FKBP1B","grey","grey"
"FKBP2","blue","black"
"FKBP3","black","black"
"FKBP4","grey","grey"
"FKBP5","turquoise","turquoise"
"FKBP7","turquoise","turquoise"
"FKBP8","magenta","pink"
"FKBP9","grey","grey"
"FKBPL","purple","purple"
"FKRP","brown","pink"
"FKTN","green","black"
"FLAD1","brown","pink"
"FLCN","grey","grey"
"FLI1","grey","grey"
"FLII","turquoise","turquoise"
"FLNA","turquoise","turquoise"
"FLNB","grey","grey"
"FLOT1","turquoise","turquoise"
"FLOT2","grey","grey"
"FLRT1","grey","grey"
"FLT3","salmon","salmon"
"FLT3LG","greenyellow","greenyellow"
"FLT4","grey","grey"
"FLVCR1","green","black"
"FLVCR2","turquoise","turquoise"
"FLYWCH1","brown","pink"
"FLYWCH2","magenta","pink"
"FMN1","turquoise","turquoise"
"FMNL1","black","black"
"FMNL2","salmon","salmon"
"FMNL3","grey","grey"
"FMO2","salmon","salmon"
"FMO3","salmon","salmon"
"FMO4","yellow","black"
"FMO5","blue","black"
"FMOD","salmon","salmon"
"FMR1","blue","black"
"FN1","grey","grey"
"FN3K","purple","purple"
"FN3KRP","grey","grey"
"FNBP1","grey","grey"
"FNBP1L","grey","grey"
"FNBP4","blue","black"
"FNDC3A","blue","black"
"FNDC3B","turquoise","turquoise"
"FNDC5","grey","grey"
"FNDC8","grey","grey"
"FNDC9","lightcyan","lightcyan"
"FNIP1","blue","black"
"FNIP2","turquoise","turquoise"
"FNTA","red","black"
"FNTB","grey","grey"
"FOCAD","green","black"
"FOLR2","salmon","salmon"
"FOLR3","turquoise","turquoise"
"FOPNL","black","black"
"FOS","turquoise","turquoise"
"FOSB","grey","grey"
"FOSL1","grey","grey"
"FOSL2","turquoise","turquoise"
"FOXC1","grey","grey"
"FOXD2","grey","grey"
"FOXD4","grey","grey"
"FOXD4L1","grey","grey"
"FOXJ2","grey","grey"
"FOXJ3","blue","black"
"FOXK1","grey","grey"
"FOXK2","pink","pink"
"FOXM1","midnightblue","cyan"
"FOXN2","blue","black"
"FOXN3","grey","grey"
"FOXO1","greenyellow","greenyellow"
"FOXO3","grey","grey"
"FOXO4","grey","grey"
"FOXO6","grey","grey"
"FOXP1","blue","black"
"FOXP3","greenyellow","greenyellow"
"FOXP4","grey","grey"
"FOXR1","grey","grey"
"FOXRED1","grey","grey"
"FOXRED2","cyan","cyan"
"FPGS","pink","pink"
"FPGT","red","black"
"FPGT-TNNI3K","grey","grey"
"FPR1","turquoise","turquoise"
"FPR2","turquoise","turquoise"
"FPR3","salmon","salmon"
"FRA10AC1","blue","black"
"FRAT1","turquoise","turquoise"
"FRAT2","turquoise","turquoise"
"FRG1","tan","tan"
"FRMD3","grey","grey"
"FRMD4A","grey","grey"
"FRMD4B","grey","grey"
"FRMD5","cyan","cyan"
"FRMD6","salmon","salmon"
"FRMD8","grey","grey"
"FRRS1","grey","grey"
"FRS2","blue","black"
"FRS3","brown","pink"
"FRY","grey","grey"
"FRYL","blue","black"
"FRZB","salmon","salmon"
"FSCN1","grey","grey"
"FSCN2","grey","grey"
"FSCN3","grey","grey"
"FSD1","grey","grey"
"FSD1L","grey","grey"
"FSIP1","grey","grey"
"FSIP2","lightcyan","lightcyan"
"FST","grey","grey"
"FSTL1","salmon","salmon"
"FSTL3","grey","grey"
"FTCD","turquoise","turquoise"
"FTCDNL1","grey","grey"
"FTH1","turquoise","turquoise"
"FTL","green","black"
"FTO","grey","grey"
"FTSJ1","pink","pink"
"FTSJ3","grey","grey"
"FUBP1","green","black"
"FUBP3","red","black"
"FUCA1","turquoise","turquoise"
"FUCA2","turquoise","turquoise"
"FUNDC1","grey","grey"
"FUNDC2","grey","grey"
"FUOM","grey","grey"
"FURIN","magenta","pink"
"FUS","grey","grey"
"FUT1","purple","purple"
"FUT10","yellow","black"
"FUT11","grey","grey"
"FUT2","yellow","black"
"FUT4","grey","grey"
"FUT6","grey","grey"
"FUT7","grey","grey"
"FUT8","green","black"
"FUZ","pink","pink"
"FXN","grey","grey"
"FXR1","green","black"
"FXR2","grey","grey"
"FXYD1","grey","grey"
"FXYD5","black","black"
"FXYD6","turquoise","turquoise"
"FXYD7","grey","grey"
"FYCO1","blue","black"
"FYN","grey","grey"
"FYTTD1","black","black"
"FZD1","turquoise","turquoise"
"FZD2","grey","grey"
"FZD3","grey","grey"
"FZD4","salmon","salmon"
"FZD5","grey","grey"
"FZD6","grey","grey"
"FZD7","grey","grey"
"FZD8","grey","grey"
"FZR1","brown","pink"
"G0S2","grey","grey"
"G2E3","blue","black"
"G3BP1","red","black"
"G3BP2","black","black"
"G6PC3","magenta","pink"
"G6PD","turquoise","turquoise"
"GAA","turquoise","turquoise"
"GAB1","blue","black"
"GAB2","grey","grey"
"GAB3","grey","grey"
"GABARAP","green","black"
"GABARAPL1","grey","grey"
"GABARAPL2","grey","grey"
"GABBR1","turquoise","turquoise"
"GABPA","red","black"
"GABPB1","blue","black"
"GABPB2","grey","grey"
"GABRD","grey","grey"
"GABRE","grey","grey"
"GABRR2","grey","grey"
"GAD1","purple","purple"
"GADD45A","grey","grey"
"GADD45B","red","black"
"GADD45G","grey","grey"
"GADD45GIP1","pink","pink"
"GAK","brown","pink"
"GAL","grey","grey"
"GAL3ST2","grey","grey"
"GAL3ST4","turquoise","turquoise"
"GALC","grey","grey"
"GALE","grey","grey"
"GALK1","magenta","pink"
"GALK2","blue","black"
"GALM","grey","grey"
"GALNS","grey","grey"
"GALNT1","green","black"
"GALNT10","grey","grey"
"GALNT11","grey","grey"
"GALNT12","grey","grey"
"GALNT14","grey","grey"
"GALNT2","grey","grey"
"GALNT3","grey","grey"
"GALNT4","grey","grey"
"GALNT6","grey","grey"
"GALNT7","red","black"
"GALR2","grey","grey"
"GALR3","grey","grey"
"GALT","brown","pink"
"GAMT","pink","pink"
"GAN","green","black"
"GANAB","grey","grey"
"GANC","grey","grey"
"GAPDH","magenta","pink"
"GAPT","grey","grey"
"GAPVD1","blue","black"
"GAR1","green","black"
"GAREM1","grey","grey"
"GAREM2","grey","grey"
"GARNL3","grey","grey"
"GARS","grey","grey"
"GART","green","black"
"GAS1","grey","grey"
"GAS2","grey","grey"
"GAS2L1","grey","grey"
"GAS2L2","grey","grey"
"GAS2L3","grey","grey"
"GAS6","grey","grey"
"GAS7","turquoise","turquoise"
"GAS8","grey","grey"
"GATA1","purple","purple"
"GATA2","grey","grey"
"GATA3","greenyellow","greenyellow"
"GATAD1","grey","grey"
"GATAD2A","pink","pink"
"GATAD2B","blue","black"
"GATB","green","black"
"GATC","green","black"
"GATM","grey","grey"
"GBA","turquoise","turquoise"
"GBA2","brown","pink"
"GBE1","grey","grey"
"GBF1","tan","tan"
"GBGT1","grey","grey"
"GBP1","turquoise","turquoise"
"GBP2","turquoise","turquoise"
"GBP3","grey","grey"
"GBP4","greenyellow","greenyellow"
"GBP5","turquoise","turquoise"
"GCA","turquoise","turquoise"
"GCAT","grey","grey"
"GCC1","grey","grey"
"GCC2","red","black"
"GCDH","turquoise","turquoise"
"GCFC2","green","black"
"GCH1","grey","grey"
"GCHFR","grey","grey"
"GCLC","grey","grey"
"GCLM","purple","purple"
"GCM2","grey","grey"
"GCN1","pink","pink"
"GCNT1","grey","grey"
"GCNT2","turquoise","turquoise"
"GCNT4","greenyellow","greenyellow"
"GCNT7","lightcyan","lightcyan"
"GCSAM","grey","grey"
"GCSAML","grey","grey"
"GCSH","turquoise","turquoise"
"GDAP1","grey","grey"
"GDAP1L1","grey","grey"
"GDAP2","pink","pink"
"GDE1","grey","grey"
"GDF1","grey","grey"
"GDF10","grey","grey"
"GDF11","turquoise","turquoise"
"GDF15","grey","grey"
"GDF7","grey","grey"
"GDF9","grey","grey"
"GDI1","brown","pink"
"GDI2","black","black"
"GDPD1","grey","grey"
"GDPD2","grey","grey"
"GDPD3","grey","grey"
"GDPD5","grey","grey"
"GDPGP1","grey","grey"
"GEM","salmon","salmon"
"GEMIN2","red","black"
"GEMIN4","pink","pink"
"GEMIN5","green","black"
"GEMIN6","yellow","black"
"GEMIN7","grey","grey"
"GEMIN8","turquoise","turquoise"
"GEN1","midnightblue","cyan"
"GET4","brown","pink"
"GFER","magenta","pink"
"GFI1","grey","grey"
"GFI1B","purple","purple"
"GFM1","black","black"
"GFM2","red","black"
"GFOD1","grey","grey"
"GFOD2","grey","grey"
"GFPT1","blue","black"
"GFRA2","grey","grey"
"GGA1","brown","pink"
"GGA2","turquoise","turquoise"
"GGA3","brown","pink"
"GGACT","grey","grey"
"GGCT","tan","tan"
"GGCX","grey","grey"
"GGH","cyan","cyan"
"GGN","grey","grey"
"GGNBP2","grey","grey"
"GGPS1","red","black"
"GGT1","grey","grey"
"GGT5","grey","grey"
"GGT7","grey","grey"
"GH1","grey","grey"
"GHDC","magenta","pink"
"GHITM","turquoise","turquoise"
"GHRH","grey","grey"
"GHRL","grey","grey"
"GID4","red","black"
"GID8","turquoise","turquoise"
"GIGYF1","brown","pink"
"GIGYF2","blue","black"
"GIMAP1","turquoise","turquoise"
"GIMAP2","turquoise","turquoise"
"GIMAP4","turquoise","turquoise"
"GIMAP5","turquoise","turquoise"
"GIMAP6","turquoise","turquoise"
"GIMAP7","turquoise","turquoise"
"GIMAP8","turquoise","turquoise"
"GIN1","yellow","black"
"GINM1","brown","pink"
"GINS1","cyan","cyan"
"GINS2","cyan","cyan"
"GINS3","cyan","cyan"
"GINS4","cyan","cyan"
"GIPC1","grey","grey"
"GIPC3","grey","grey"
"GIPR","grey","grey"
"GIT1","brown","pink"
"GIT2","blue","black"
"GJA1","salmon","salmon"
"GJA4","purple","purple"
"GJA9","grey","grey"
"GJB3","purple","purple"
"GJB5","purple","purple"
"GJB7","lightcyan","lightcyan"
"GJC2","grey","grey"
"GJC3","grey","grey"
"GJD3","grey","grey"
"GK","grey","grey"
"GK5","grey","grey"
"GKAP1","turquoise","turquoise"
"GLA","grey","grey"
"GLB1","turquoise","turquoise"
"GLB1L","grey","grey"
"GLB1L2","grey","grey"
"GLCCI1","grey","grey"
"GLCE","grey","grey"
"GLDC","grey","grey"
"GLDN","grey","grey"
"GLE1","black","black"
"GLG1","turquoise","turquoise"
"GLI1","grey","grey"
"GLI4","brown","pink"
"GLIPR1","turquoise","turquoise"
"GLIPR1L1","grey","grey"
"GLIPR1L2","grey","grey"
"GLIPR2","turquoise","turquoise"
"GLIS2","grey","grey"
"GLMN","green","black"
"GLMP","grey","grey"
"GLO1","black","black"
"GLOD4","grey","grey"
"GLOD5","purple","purple"
"GLRX","turquoise","turquoise"
"GLRX2","grey","grey"
"GLRX3","black","black"
"GLRX5","purple","purple"
"GLS","yellow","black"
"GLS2","grey","grey"
"GLT1D1","turquoise","turquoise"
"GLT8D1","grey","grey"
"GLT8D2","grey","grey"
"GLTP","turquoise","turquoise"
"GLTPD2","grey","grey"
"GLUD1","grey","grey"
"GLUD2","grey","grey"
"GLUL","grey","grey"
"GLYATL1","grey","grey"
"GLYATL2","grey","grey"
"GLYCTK","grey","grey"
"GLYR1","grey","grey"
"GM2A","turquoise","turquoise"
"GMCL1","turquoise","turquoise"
"GMDS","grey","grey"
"GMEB1","grey","grey"
"GMEB2","brown","pink"
"GMFB","grey","grey"
"GMFG","grey","grey"
"GMIP","turquoise","turquoise"
"GMNN","cyan","cyan"
"GMPPA","magenta","pink"
"GMPPB","grey","grey"
"GMPR","purple","purple"
"GMPR2","grey","grey"
"GMPS","cyan","cyan"
"GNA11","grey","grey"
"GNA12","grey","grey"
"GNA13","blue","black"
"GNA14","turquoise","turquoise"
"GNA15","grey","grey"
"GNAI1","grey","grey"
"GNAI2","green","black"
"GNAI3","brown","pink"
"GNAL","grey","grey"
"GNAQ","red","black"
"GNAS","grey","grey"
"GNAZ","purple","purple"
"GNB1","grey","grey"
"GNB1L","grey","grey"
"GNB2","green","black"
"GNB3","grey","grey"
"GNB4","red","black"
"GNB5","grey","grey"
"GNE","red","black"
"GNG10","grey","grey"
"GNG11","grey","grey"
"GNG12","salmon","salmon"
"GNG13","grey","grey"
"GNG2","grey","grey"
"GNG3","grey","grey"
"GNG5","green","black"
"GNG7","turquoise","turquoise"
"GNGT2","turquoise","turquoise"
"GNL1","grey","grey"
"GNL2","black","black"
"GNL3","black","black"
"GNL3L","grey","grey"
"GNLY","greenyellow","greenyellow"
"GNMT","grey","grey"
"GNPAT","black","black"
"GNPDA1","turquoise","turquoise"
"GNPDA2","red","black"
"GNPNAT1","black","black"
"GNPTAB","blue","black"
"GNPTG","magenta","pink"
"GNRH1","grey","grey"
"GNRH2","grey","grey"
"GNRHR","blue","black"
"GNS","turquoise","turquoise"
"GOLGA1","grey","grey"
"GOLGA2","grey","grey"
"GOLGA3","grey","grey"
"GOLGA4","magenta","pink"
"GOLGA5","black","black"
"GOLGA6L10","grey","grey"
"GOLGA6L9","purple","purple"
"GOLGA7","grey","grey"
"GOLGA7B","greenyellow","greenyellow"
"GOLGA8A","grey","grey"
"GOLGA8H","grey","grey"
"GOLGA8K","grey","grey"
"GOLGA8M","grey","grey"
"GOLGA8N","grey","grey"
"GOLGA8O","grey","grey"
"GOLGA8R","grey","grey"
"GOLGB1","blue","black"
"GOLIM4","black","black"
"GOLM1","grey","grey"
"GOLPH3","grey","grey"
"GOLPH3L","red","black"
"GOLT1B","red","black"
"GON4L","blue","black"
"GOPC","yellow","black"
"GORAB","yellow","black"
"GORASP1","grey","grey"
"GORASP2","grey","grey"
"GOSR1","red","black"
"GOSR2","yellow","black"
"GOT1","grey","grey"
"GOT2","pink","pink"
"GP1BA","grey","grey"
"GP5","purple","purple"
"GP6","grey","grey"
"GP9","grey","grey"
"GPA33","grey","grey"
"GPAA1","magenta","pink"
"GPALPP1","yellow","black"
"GPAM","green","black"
"GPANK1","grey","grey"
"GPAT2","grey","grey"
"GPAT3","turquoise","turquoise"
"GPAT4","grey","grey"
"GPATCH1","yellow","black"
"GPATCH11","black","black"
"GPATCH2","red","black"
"GPATCH2L","blue","black"
"GPATCH3","magenta","pink"
"GPATCH4","black","black"
"GPATCH8","blue","black"
"GPBAR1","turquoise","turquoise"
"GPBP1","red","black"
"GPBP1L1","red","black"
"GPC1","grey","grey"
"GPC2","turquoise","turquoise"
"GPC4","grey","grey"
"GPCPD1","turquoise","turquoise"
"GPD1L","grey","grey"
"GPD2","grey","grey"
"GPER1","grey","grey"
"GPHA2","grey","grey"
"GPHN","turquoise","turquoise"
"GPI","grey","grey"
"GPKOW","grey","grey"
"GPLD1","yellow","black"
"GPM6B","grey","grey"
"GPN1","black","black"
"GPN2","grey","grey"
"GPN3","black","black"
"GPNMB","salmon","salmon"
"GPR107","tan","tan"
"GPR108","magenta","pink"
"GPR12","grey","grey"
"GPR132","turquoise","turquoise"
"GPR135","yellow","black"
"GPR137","magenta","pink"
"GPR137B","turquoise","turquoise"
"GPR137C","grey","grey"
"GPR141","grey","grey"
"GPR143","grey","grey"
"GPR146","grey","grey"
"GPR15","grey","grey"
"GPR150","grey","grey"
"GPR152","grey","grey"
"GPR153","turquoise","turquoise"
"GPR155","greenyellow","greenyellow"
"GPR157","grey","grey"
"GPR160","grey","grey"
"GPR161","purple","purple"
"GPR162","grey","grey"
"GPR171","greenyellow","greenyellow"
"GPR173","grey","grey"
"GPR174","yellow","black"
"GPR18","lightcyan","lightcyan"
"GPR180","red","black"
"GPR182","salmon","salmon"
"GPR183","turquoise","turquoise"
"GPR19","grey","grey"
"GPR21","blue","black"
"GPR22","lightcyan","lightcyan"
"GPR25","grey","grey"
"GPR27","grey","grey"
"GPR3","grey","grey"
"GPR32","grey","grey"
"GPR34","turquoise","turquoise"
"GPR35","turquoise","turquoise"
"GPR37L1","grey","grey"
"GPR45","grey","grey"
"GPR52","lightcyan","lightcyan"
"GPR55","grey","grey"
"GPR65","turquoise","turquoise"
"GPR68","greenyellow","greenyellow"
"GPR75","blue","black"
"GPR82","grey","grey"
"GPR84","turquoise","turquoise"
"GPR85","grey","grey"
"GPR87","grey","grey"
"GPR88","grey","grey"
"GPR89A","blue","black"
"GPR89B","yellow","black"
"GPRASP1","greenyellow","greenyellow"
"GPRASP2","grey","grey"
"GPRC5B","salmon","salmon"
"GPRC5C","grey","grey"
"GPRC5D","grey","grey"
"GPRIN1","turquoise","turquoise"
"GPRIN3","turquoise","turquoise"
"GPS1","magenta","pink"
"GPS2","brown","pink"
"GPSM1","pink","pink"
"GPSM2","red","black"
"GPSM3","turquoise","turquoise"
"GPT","grey","grey"
"GPT2","turquoise","turquoise"
"GPX2","lightcyan","lightcyan"
"GPX3","salmon","salmon"
"GPX4","magenta","pink"
"GPX7","grey","grey"
"GRAMD1A","pink","pink"
"GRAMD1B","grey","grey"
"GRAMD1C","grey","grey"
"GRAMD4","grey","grey"
"GRAP","grey","grey"
"GRAP2","greenyellow","greenyellow"
"GRASP","grey","grey"
"GRB10","grey","grey"
"GRB2","turquoise","turquoise"
"GREB1L","lightcyan","lightcyan"
"GRHPR","pink","pink"
"GRID2IP","grey","grey"
"GRIFIN","turquoise","turquoise"
"GRIK1","lightcyan","lightcyan"
"GRIK5","turquoise","turquoise"
"GRIN2C","grey","grey"
"GRIN2D","grey","grey"
"GRIN3A","grey","grey"
"GRIN3B","grey","grey"
"GRINA","grey","grey"
"GRIP1","grey","grey"
"GRIPAP1","grey","grey"
"GRK4","yellow","black"
"GRK5","greenyellow","greenyellow"
"GRK6","turquoise","turquoise"
"GRM2","grey","grey"
"GRN","turquoise","turquoise"
"GRPEL1","grey","grey"
"GRPEL2","red","black"
"GRPR","turquoise","turquoise"
"GRSF1","black","black"
"GRTP1","salmon","salmon"
"GRWD1","pink","pink"
"GSAP","turquoise","turquoise"
"GSDMB","yellow","black"
"GSDMC","grey","grey"
"GSDMD","brown","pink"
"GSE1","grey","grey"
"GSG1","grey","grey"
"GSK3A","magenta","pink"
"GSK3B","blue","black"
"GSKIP","black","black"
"GSN","grey","grey"
"GSPT1","black","black"
"GSPT2","grey","grey"
"GSR","turquoise","turquoise"
"GSS","grey","grey"
"GSTA4","grey","grey"
"GSTCD","green","black"
"GSTK1","grey","grey"
"GSTM1","grey","grey"
"GSTM2","grey","grey"
"GSTM3","grey","grey"
"GSTM4","grey","grey"
"GSTM5","grey","grey"
"GSTO1","grey","grey"
"GSTO2","grey","grey"
"GSTP1","grey","grey"
"GSTZ1","grey","grey"
"GTDC1","lightcyan","lightcyan"
"GTF2A1","red","black"
"GTF2A2","grey","grey"
"GTF2B","grey","grey"
"GTF2E1","yellow","black"
"GTF2E2","grey","grey"
"GTF2F1","pink","pink"
"GTF2F2","black","black"
"GTF2H1","black","black"
"GTF2H2","grey","grey"
"GTF2H2C","red","black"
"GTF2H3","black","black"
"GTF2H4","grey","grey"
"GTF2H5","grey","grey"
"GTF2I","green","black"
"GTF2IRD1","grey","grey"
"GTF2IRD2","grey","grey"
"GTF2IRD2B","grey","grey"
"GTF3A","grey","grey"
"GTF3C1","pink","pink"
"GTF3C2","pink","pink"
"GTF3C3","green","black"
